name,season,age,actual_war,predicted_war,abs_error,error,yr_ahead
Lane Thomas,2024,28,0.3,1.42,1.12,1.12,2
Lars Nootbaar,2023,25,3.3,2.61,0.69,-0.69,1
Lars Nootbaar,2024,26,1.6,2.41,0.81,0.81,2
Lars Nootbaar,2025,27,1.3,2.21,0.91,0.91,3
Leody Taveras,2023,24,2.9,1.92,0.98,-0.98,1
Leody Taveras,2024,25,0.7,2.13,1.43,1.43,2
Lourdes Gurriel Jr.,2023,29,2.9,1.67,1.23,-1.23,1
Lourdes Gurriel Jr.,2024,30,1.9,1.56,0.34,-0.34,2
Lourdes Gurriel Jr.,2025,31,0.5,1.44,0.94,0.94,3
Luis Arraez,2023,26,4.6,2.92,1.68,-1.68,1
Luis Arraez,2024,27,1.1,2.73,1.63,1.63,2
Luis Arraez,2025,28,1.2,2.57,1.37,1.37,3
Luis GarcÃ­a Jr.,2023,23,0.7,1.33,0.63,0.63,1
Luis GarcÃ­a Jr.,2024,24,2.2,1.55,0.65,-0.65,2
Luis GarcÃ­a Jr.,2025,25,0.4,1.52,1.12,1.12,3
Luis Guillorme,2024,29,0.2,1.4,1.2,1.2,2
Luis Guillorme,2024,29,0.1,1.4,1.3,1.3,2
Luis Rengifo,2023,26,1.9,1.9,0.0,0.0,1
Luis Rengifo,2024,27,1.8,1.81,0.01,0.01,2
Luis Rengifo,2025,28,0.4,1.75,1.35,1.35,3
Luis Robert Jr.,2023,25,5.3,3.38,1.92,-1.92,1
Luis Robert Jr.,2024,26,1.3,3.46,2.16,2.16,2
Luis Robert Jr.,2025,27,1.4,3.27,1.87,1.87,3
Luis Torrens,2024,28,0.7,0.61,0.09,-0.09,2
Luis Torrens,2025,29,1.4,0.59,0.81,-0.81,3
Luis UrÃ­as,2024,27,0.4,1.54,1.14,1.14,2
Luis UrÃ­as,2025,28,0.5,1.34,0.84,0.84,3
Manny Machado,2023,30,2.7,4.33,1.63,1.63,1
Manny Machado,2024,31,3.1,3.76,0.66,0.66,2
Manny Machado,2025,32,4.1,3.58,0.52,-0.52,3
Manuel Margot,2023,28,0.6,1.9,1.3,1.3,1
Marcell Ozuna,2023,32,3.4,2.72,0.68,-0.68,1
Marcell Ozuna,2024,33,4.3,2.6,1.7,-1.7,2
Marcell Ozuna,2025,34,1.6,2.54,0.94,0.94,3
Marcus Semien,2023,32,7.7,4.24,3.46,-3.46,1
Marcus Semien,2024,33,4.5,3.45,1.05,-1.05,2
Marcus Semien,2025,34,3.3,3.19,0.11,-0.11,3
Mark Canha,2023,34,2.2,1.76,0.44,-0.44,1
Mark Canha,2024,35,0.5,1.51,1.01,1.01,2
Matt Chapman,2023,30,4.3,2.62,1.68,-1.68,1
Matt Chapman,2024,31,7.1,2.38,4.72,-4.72,2
Matt Chapman,2025,32,4.1,2.31,1.79,-1.79,3
Matt Duffy,2023,32,0.2,1.46,1.26,1.26,1
Matt Olson,2023,29,7.5,3.35,4.15,-4.15,1
Matt Olson,2024,30,3.9,3.07,0.83,-0.83,2
Matt Olson,2025,31,6.0,2.81,3.19,-3.19,3
Mauricio DubÃ³n,2023,28,2.7,1.12,1.58,-1.58,1
Mauricio DubÃ³n,2024,29,1.0,1.04,0.04,0.04,2
Mauricio DubÃ³n,2025,30,1.7,0.96,0.74,-0.74,3
Max Kepler,2023,30,2.8,2.04,0.76,-0.76,1
Max Kepler,2024,31,1.0,2.01,1.01,1.01,2
Max Kepler,2025,32,0.1,1.94,1.84,1.84,3
Max Muncy,2023,32,2.9,2.18,0.72,-0.72,1
Max Muncy,2024,33,3.0,1.97,1.03,-1.03,2
Max Muncy,2025,34,3.6,1.96,1.64,-1.64,3
Michael A. Taylor,2023,32,1.9,1.67,0.23,-0.23,1
Michael A. Taylor,2024,33,0.9,1.28,0.38,0.38,2
Michael A. Taylor,2025,34,0.1,1.21,1.11,1.11,3
Michael Brantley,2023,36,0.1,1.18,1.08,1.08,1
Michael Conforto,2023,30,0.8,2.56,1.76,1.76,1
Michael Conforto,2024,31,1.3,2.52,1.22,1.22,2
Miguel Andujar,2023,28,0.1,1.21,1.11,1.11,1
Miguel Andujar,2024,29,0.4,1.24,0.84,0.84,2
Miguel Andujar,2025,30,0.8,1.14,0.34,0.34,3
Miguel Rojas,2023,34,1.4,1.82,0.42,0.42,1
Miguel Rojas,2024,35,3.4,1.65,1.75,-1.75,2
Miguel Rojas,2025,36,2.1,1.56,0.54,-0.54,3
Mike Tauchman,2023,32,2.7,1.55,1.15,-1.15,1
Mike Tauchman,2024,33,0.6,1.55,0.95,0.95,2
Mike Tauchman,2025,34,1.9,1.49,0.41,-0.41,3
Mike Trout,2023,31,2.9,3.58,0.68,0.68,1
Mike Trout,2024,32,1.0,3.16,2.16,2.16,2
Mike Trout,2025,33,1.5,3.16,1.66,1.66,3
Mike Yastrzemski,2023,32,2.4,2.31,0.09,-0.09,1
Mike Yastrzemski,2024,33,2.1,2.34,0.24,0.24,2
Mike Yastrzemski,2025,34,2.8,2.29,0.51,-0.51,3
Mitch Garver,2023,32,2.3,0.85,1.45,-1.45,1
Mookie Betts,2023,30,8.6,5.23,3.37,-3.37,1
Mookie Betts,2024,31,4.6,4.84,0.24,0.24,2
Mookie Betts,2025,32,4.9,4.57,0.33,-0.33,3
Myles Straw,2023,28,0.9,2.22,1.32,1.32,1
Myles Straw,2025,30,2.9,1.62,1.28,-1.28,3
Nathaniel Lowe,2023,27,2.9,2.04,0.86,-0.86,1
Nathaniel Lowe,2024,28,3.0,1.81,1.19,-1.19,2
Nathaniel Lowe,2025,29,0.1,1.6,1.5,1.5,3
Nick Castellanos,2023,31,1.5,1.83,0.33,0.33,1
Nick Castellanos,2024,32,0.6,1.63,1.03,1.03,2
Nick Madrigal,2023,26,1.3,1.37,0.07,0.07,1
Nicky Lopez,2023,28,1.8,2.95,1.15,1.15,1
Nicky Lopez,2024,29,0.1,2.72,2.62,2.62,2
