name,season,actual_war,predicted_war,error,abs_error,tier
Brandon Marsh,2024,3.0,1.86,-1.14,1.14,2-3
Brandon Nimmo,2024,2.2,2.94,0.7399999999999998,0.7399999999999998,2-3
Brendan Donovan,2024,2.8,2.33,-0.46999999999999975,0.46999999999999975,2-3
Brendan Rodgers,2024,1.0,2.11,1.1099999999999999,1.1099999999999999,0-1
Bryan Reynolds,2024,3.6,2.35,-1.25,1.25,3-4
Bryce Harper,2024,4.6,2.96,-1.6399999999999997,1.6399999999999997,4-5
Bryson Stott,2024,2.3,3.14,0.8400000000000003,0.8400000000000003,2-3
Byron Buxton,2024,3.6,1.85,-1.75,1.75,3-4
CJ Abrams,2024,3.3,2.62,-0.6799999999999997,0.6799999999999997,3-4
Cal Raleigh,2024,4.6,3.15,-1.4499999999999997,1.4499999999999997,4-5
Carlos Correa,2024,3.7,2.79,-0.9100000000000001,0.9100000000000001,3-4
Carlos Santana,2024,2.5,1.86,-0.6399999999999999,0.6399999999999999,2-3
Carson Kelly,2024,0.5,0.79,0.29000000000000004,0.29000000000000004,0-1
Cavan Biggio,2024,0.1,1.03,0.93,0.93,0-1
Cedric Mullins,2024,2.4,3.08,0.6800000000000002,0.6800000000000002,2-3
Charlie Blackmon,2024,0.5,0.87,0.37,0.37,0-1
Christian Bethancourt,2024,0.4,0.58,0.17999999999999994,0.17999999999999994,0-1
Christian Walker,2024,2.5,2.23,-0.27,0.27,2-3
